[2025-12-05 12:03:07,109: INFO: data_ingestion: Downloaded data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2025-12-05 12:03:08,709: INFO: main: >>>>>> stage Data Ingestion stage completed <<<<<<

x==========x]
[2025-12-05 12:03:08,710: INFO: main: *******************]
[2025-12-05 12:03:08,710: INFO: main: >>>>>> stage Prepare base model started <<<<<<]
[2025-12-05 12:03:08,716: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-12-05 12:03:08,720: INFO: common: yaml file: params.yaml loaded successfully]
[2025-12-05 12:03:08,723: INFO: common: created directory at: artifacts]
[2025-12-05 12:03:08,725: INFO: common: created directory at: artifacts/prepare_base_model]
[2025-12-05 12:03:10,103: WARNING: saving_utils: Compiled the loaded model, but the compiled metrics have yet to be built. `model.compile_metrics` will be empty until you train or evaluate the model.]
[2025-12-05 12:03:10,587: INFO: main: >>>>>> stage Prepare base model completed <<<<<<

x==========x]
[2025-12-05 12:03:10,588: INFO: main: *******************]
[2025-12-05 12:03:10,589: INFO: main: >>>>>> stage Training started <<<<<<]
[2025-12-05 12:03:10,592: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-12-05 12:03:10,595: INFO: common: yaml file: params.yaml loaded successfully]
[2025-12-05 12:03:10,597: INFO: common: created directory at: artifacts]
[2025-12-05 12:03:10,602: INFO: common: created directory at: artifacts\training]
[2025-12-05 12:04:01,610: INFO: main: >>>>>> stage Training completed <<<<<<

x==========x]
